iter	Passed	Remaining
0	0	640
1	1	829
2	2	807
3	2	718
4	3	701
5	4	684
6	4	664
7	5	653
8	5	634
9	6	620
10	6	602
11	7	596
12	7	586
13	8	578
14	8	574
15	9	573
16	9	575
17	10	566
18	10	562
19	11	559
20	11	559
21	12	555
22	13	553
23	13	553
24	14	552
25	14	547
26	15	543
27	15	550
28	16	559
29	17	559
30	17	557
31	18	553
32	18	552
33	19	549
34	19	549
35	20	550
36	21	551
37	21	549
38	22	549
39	22	550
40	23	551
41	24	549
42	24	547
43	25	547
44	25	546
45	26	545
46	26	545
47	27	546
48	28	547
49	28	545
50	29	545
51	29	545
52	30	551
53	31	551
54	32	550
55	32	550
56	33	548
57	33	546
58	34	543
59	34	542
60	35	541
61	35	540
62	36	538
63	36	537
64	37	537
65	37	535
66	38	534
67	38	533
68	39	533
69	40	532
70	40	532
71	41	530
72	41	529
73	42	530
74	42	529
75	43	528
76	43	527
77	44	529
78	45	532
79	46	532
80	46	532
81	47	531
82	47	527
83	48	526
84	48	525
85	49	524
86	49	524
87	50	524
88	51	522
89	51	522
90	52	521
91	52	520
92	53	519
93	53	518
94	54	517
95	54	516
96	55	516
97	56	515
98	56	514
99	57	513
100	57	513
101	58	512
102	58	513
103	59	515
104	60	516
105	61	517
106	61	517
107	62	516
108	62	514
109	63	513
110	64	513
111	64	513
112	65	513
113	65	512
114	66	512
115	67	511
116	67	509
117	67	508
118	68	506
119	68	505
120	69	505
121	69	503
122	70	503
123	71	502
124	71	501
125	72	500
126	72	500
127	73	502
128	74	502
129	75	502
130	75	500
131	75	499
132	76	497
133	76	496
134	77	494
135	77	493
136	78	492
137	78	492
138	79	491
139	79	490
140	80	489
141	80	487
142	81	485
143	81	484
144	81	483
145	82	482
146	82	481
147	83	480
148	83	479
149	84	478
150	84	477
151	85	476
152	85	475
153	86	475
154	86	474
155	87	472
156	88	472
157	88	474
158	89	473
159	90	472
160	90	471
161	91	471
162	91	469
163	91	468
164	92	467
165	92	467
166	93	465
167	93	464
168	94	463
169	94	463
170	95	462
171	95	460
172	96	460
173	96	459
174	97	459
175	97	458
176	98	457
177	99	457
178	99	456
179	99	455
180	100	454
181	100	453
182	101	452
183	101	451
184	102	449
185	102	448
186	103	449
187	103	448
188	104	448
189	105	447
190	105	446
191	106	446
192	106	447
193	107	447
194	108	447
195	108	446
196	109	445
197	109	445
198	110	444
199	110	443
200	111	442
201	111	442
202	112	441
203	112	440
204	113	439
205	113	438
206	114	438
207	114	437
208	115	436
209	115	435
210	116	435
211	116	434
212	117	435
213	118	436
214	119	436
215	120	436
216	120	435
217	121	434
218	121	433
219	122	432
220	122	431
221	122	430
222	123	430
223	124	429
224	124	428
225	124	428
226	125	427
227	125	426
228	126	425
229	126	424
230	127	423
231	127	423
232	128	422
233	128	422
234	129	421
235	129	420
236	130	419
237	130	418
238	131	418
239	131	417
240	132	417
241	133	417
242	133	416
243	134	415
244	134	414
245	135	414
246	135	413
247	136	412
248	136	412
249	137	411
250	137	410
251	138	409
252	138	409
253	139	408
254	139	407
255	139	406
256	140	406
257	141	405
258	141	405
259	142	404
260	142	403
261	143	403
262	143	402
263	144	402
264	144	401
265	145	400
266	145	399
267	146	398
268	146	398
269	147	398
270	148	398
271	148	397
272	148	396
273	149	396
